t_s,bufPctRaw,bufPctSmoothed,bufPctDrawn,redraws,lastSkipReason,wrState
4.31,8,8,8,216,delta,2
4.3298,8,8,8,216,delta,2
4.361,8,8,8,216,delta,2
4.3808,8,8,8,216,delta,2
4.4012,8,8,8,216,delta,2
4.4209,8,8,8,216,delta,2
4.4406,8,8,8,216,delta,2
4.472,8,8,8,216,delta,2
4.4917,8,8,8,216,delta,2
4.5121,8,8,8,216,delta,2
4.5338,8,8,8,216,delta,2
4.554,8,8,8,216,delta,2
4.585,8,8,8,216,delta,2
4.605,8,8,8,216,delta,2
4.6255,8,8,8,216,delta,2
4.649,8,8,8,216,delta,2
4.6703,8,8,8,216,delta,2
4.7025,8,8,8,216,delta,2
4.7241,8,8,8,216,delta,2
4.7442,8,8,8,216,delta,2
4.7643,8,8,8,216,delta,2
4.7859,8,8,8,216,delta,2
4.8165,8,8,8,216,delta,2
4.8375,8,8,8,216,delta,2
4.8578,8,8,8,216,delta,2
4.878,8,8,8,216,delta,2
4.8987,8,8,8,216,delta,2
4.9306,8,8,8,216,delta,2
4.9517,8,8,8,216,delta,2
4.9718,8,8,8,216,delta,2
4.9917,8,8,8,216,delta,2
5.0119,8,8,8,216,delta,2
5.0429,8,8,8,216,delta,2
5.063,8,8,8,216,delta,2
5.0827,8,8,8,216,delta,2
5.1029,8,8,8,216,delta,2
5.1229,8,8,8,216,delta,2
5.1537,8,8,8,216,delta,2
5.1738,8,8,8,216,delta,2
5.194,8,8,8,216,delta,2
5.2141,8,8,8,216,delta,2
5.2345,8,8,8,216,delta,2
5.2663,8,8,8,216,delta,2
5.2873,8,8,8,216,delta,2
5.3078,8,8,8,216,delta,2
5.3298,8,8,8,216,delta,2
5.3502,8,8,8,216,delta,2
5.383,8,8,8,216,delta,2
5.4028,8,8,8,216,delta,2
5.4229,8,8,8,216,delta,2
5.4431,8,8,8,216,delta,2
5.4648,8,8,8,216,delta,2
5.4963,8,8,8,216,delta,2
5.517,8,8,8,216,delta,2
5.5369,8,8,8,216,delta,2
5.557,8,8,8,216,delta,2
5.5767,8,8,8,216,delta,2
5.6077,8,8,8,216,delta,2
5.6279,8,8,8,216,delta,2
5.6496,8,8,8,216,delta,2
5.67,8,8,8,216,delta,2
5.6897,8,8,8,216,delta,2
5.7209,8,8,8,216,delta,2
5.7408,8,8,8,216,delta,2
5.7609,8,8,8,216,delta,2
5.7811,8,8,8,216,delta,2
5.8009,8,8,8,216,delta,2
5.8321,8,8,8,216,delta,2
5.8537,8,8,8,216,delta,2
5.874,8,8,8,216,delta,2
5.8954,8,8,8,216,delta,2
5.9164,8,8,8,216,delta,2
5.9501,8,8,8,216,delta,2
5.9697,8,8,8,216,delta,2
5.9911,8,8,8,216,delta,2
6.0108,8,8,8,216,delta,2
6.0306,8,8,8,216,delta,2
6.0619,8,8,8,216,delta,2
6.0818,8,8,8,216,delta,2
6.102,8,8,8,216,delta,2
6.1218,8,8,8,216,delta,2
6.1418,8,8,8,216,delta,2
6.1726,8,8,8,216,delta,2
6.1926,8,8,8,216,delta,2
6.2132,8,8,8,216,delta,2
6.2348,8,8,8,216,delta,2
6.2548,8,8,8,216,delta,2
6.2856,8,8,8,216,delta,2
6.3065,8,8,8,216,delta,2
6.3271,8,8,8,216,delta,2
6.3467,8,8,8,216,delta,2
6.3666,8,8,8,216,delta,2
6.3973,8,8,8,216,delta,2
6.4177,8,8,8,216,delta,2
6.4389,8,8,8,216,delta,2
6.4588,8,8,8,216,delta,2
6.4789,8,8,8,216,delta,2
6.5119,8,8,8,216,delta,2
6.5318,8,8,8,216,delta,2
6.5518,8,8,8,216,delta,2
6.5718,8,8,8,216,delta,2
6.5918,8,8,8,216,delta,2
6.6227,8,8,8,216,delta,2
6.6431,8,8,8,216,delta,2
6.6634,8,8,8,216,delta,2
6.6846,8,8,8,216,delta,2
6.7047,8,8,8,216,delta,2
6.7362,8,8,8,216,delta,2
6.7569,8,8,8,216,delta,2
6.7781,8,8,8,216,delta,2
6.8004,8,8,8,216,delta,2
6.8221,8,8,8,216,delta,2
6.8537,8,8,8,216,delta,2
6.875,8,8,8,216,delta,2
6.895,8,8,8,216,delta,2
6.9148,8,8,8,216,delta,2
6.935,8,8,8,216,delta,2
6.9661,8,8,8,216,delta,2
6.9868,8,8,8,216,delta,2
7.0067,8,8,8,216,delta,2
7.0265,8,8,8,216,delta,2
7.0471,8,8,8,216,delta,2
7.0792,8,8,8,216,delta,2
7.1009,8,8,8,216,delta,2
7.1209,8,8,8,216,delta,2
7.1432,8,8,8,216,delta,2
7.1646,8,8,8,216,delta,2
7.196,8,8,8,216,delta,2
7.2157,8,8,8,216,delta,2
7.2356,8,8,8,216,delta,2
7.256,8,8,8,216,delta,2
7.276,8,8,8,216,delta,2
7.3079,8,8,8,216,delta,2
7.3288,8,8,8,216,delta,2
7.3493,8,8,8,216,delta,2
7.3701,8,8,8,216,delta,2
7.3901,8,8,8,216,delta,2
7.4245,8,8,8,216,delta,2
7.4444,8,8,8,216,delta,2
7.4652,8,8,8,216,delta,2
7.4869,8,8,8,216,delta,2
7.5069,8,8,8,216,delta,2
7.5398,8,8,8,216,delta,2
7.5605,8,8,8,216,delta,2
7.581,8,8,8,216,delta,2
7.601,8,8,8,216,delta,2
7.6217,8,8,8,216,delta,2
7.6541,8,8,8,216,delta,2
7.7512,0,8,8,216,delta,2
8.2133,0,8,8,216,delta,2
8.2473,0,8,8,216,delta,2
8.3797,0,0,0,216,delta,2
8.5122,0,0,0,216,delta,2
8.5326,0,0,0,216,delta,2
8.5529,0,0,0,216,delta,2
8.5744,0,0,0,216,delta,2
8.5948,0,0,0,216,delta,2
8.6264,0,0,0,216,delta,2
8.6479,0,0,0,216,delta,2
8.6677,0,0,0,216,delta,2
8.6877,0,0,0,216,delta,2
8.7076,0,0,0,216,delta,2
8.7394,0,0,0,216,delta,2
8.7599,0,0,0,216,delta,2
8.7799,0,0,0,216,delta,2
8.8002,0,0,0,216,delta,2
8.8209,0,0,0,216,delta,2
8.8524,0,0,0,216,delta,2
8.8728,0,0,0,216,delta,2
8.8928,0,0,0,216,delta,2
8.9132,0,0,0,216,delta,2
8.9337,0,0,0,216,delta,2
8.9647,0,0,0,216,delta,2
8.9846,0,0,0,216,delta,2
9.0045,0,0,0,216,delta,2
9.0248,0,0,0,216,delta,2
9.0452,0,0,0,216,delta,2
9.0769,0,0,0,216,delta,2
9.0973,0,0,0,216,delta,2
9.1179,0,0,0,216,delta,2
9.1379,0,0,0,216,delta,2
9.1577,0,0,0,216,delta,2
9.1888,0,0,0,216,delta,2
9.2095,0,0,0,216,delta,2
9.2296,0,0,0,216,delta,2
9.2506,0,0,0,216,delta,2
9.3232,52,10,10,217,none,2
9.402,33,30,10,217,interval,2
9.4455,26,28,10,217,interval,2
9.4817,20,22,10,217,interval,2
9.5032,20,21,10,217,interval,2
9.5258,20,20,10,217,interval,2
9.559,20,20,20,218,delta,2
9.5799,20,20,20,218,delta,2
9.6002,20,20,20,218,delta,2
9.6212,20,20,20,218,delta,2
9.6423,20,20,20,218,delta,2
9.6753,20,20,20,218,delta,2
9.6961,20,20,20,218,delta,2
9.7159,20,20,20,218,delta,2
9.7365,20,20,20,218,delta,2
9.7583,20,20,20,218,delta,2
9.7893,20,20,20,218,delta,2
9.81,20,20,20,218,delta,2
9.8299,20,20,20,218,delta,2
9.8506,20,20,20,218,delta,2
9.873,20,20,20,218,delta,2
9.9089,20,20,20,218,delta,2
9.9298,20,20,20,218,delta,2
9.9506,20,20,20,218,delta,2
9.9726,20,20,20,218,delta,2
9.9938,20,20,20,218,delta,2
10.0268,20,20,20,218,delta,2
10.0481,20,20,20,218,delta,2
10.0704,20,20,20,218,delta,2
10.0921,20,20,20,218,delta,2
10.1146,20,20,20,218,delta,2
10.1467,20,20,20,218,delta,2
10.1685,20,20,20,218,delta,2
10.1897,20,20,20,218,delta,2
10.2098,20,20,20,218,delta,2
10.2303,20,20,20,218,delta,2
10.2627,20,20,20,218,delta,2
10.2847,20,20,20,218,delta,2
10.306,20,20,20,218,delta,2
10.3277,20,20,20,218,delta,2
10.349,20,20,20,218,delta,2
10.3811,20,20,20,218,delta,2
10.4019,20,20,20,218,delta,2
10.4218,20,20,20,218,delta,2
10.4424,20,20,20,218,delta,2
10.464,20,20,20,218,delta,2
10.495,20,20,20,218,delta,2
10.5158,20,20,20,218,delta,2
10.536,20,20,20,218,delta,2
10.5564,20,20,20,218,delta,2
10.5781,20,20,20,218,delta,2
10.6126,20,20,20,218,delta,2
10.6338,20,20,20,218,delta,2
10.6545,20,20,20,218,delta,2
10.6759,20,20,20,218,delta,2
10.696,20,20,20,218,delta,2
10.7289,20,20,20,218,delta,2
10.7499,20,20,20,218,delta,2
10.7704,20,20,20,218,delta,2
10.7922,20,20,20,218,delta,2
10.8167,20,20,20,218,delta,2
10.8489,20,20,20,218,delta,2
10.8703,20,20,20,218,delta,2
10.892,20,20,20,218,delta,2
10.9123,20,20,20,218,delta,2
10.9344,20,20,20,218,delta,2
10.9693,20,20,20,218,delta,2
10.9898,20,20,20,218,delta,2
11.0099,20,20,20,218,delta,2
11.0305,20,20,20,218,delta,2
11.0523,20,20,20,218,delta,2
11.087,20,20,20,218,delta,2
11.1079,20,20,20,218,delta,2
11.1282,20,20,20,218,delta,2
11.1504,20,20,20,218,delta,2
11.172,20,20,20,218,delta,2
11.2065,20,20,20,218,delta,2
11.2278,20,20,20,218,delta,2
11.2483,20,20,20,218,delta,2
11.2698,20,20,20,218,delta,2
11.2902,20,20,20,218,delta,2
11.3233,20,20,20,218,delta,2
11.3451,20,20,20,218,delta,2
11.3674,20,20,20,218,delta,2
11.3888,20,20,20,218,delta,2
11.4118,20,20,20,218,delta,2
11.4458,20,20,20,218,delta,2
11.4671,20,20,20,218,delta,2
11.4891,20,20,20,218,delta,2
11.5092,20,20,20,218,delta,2
11.5313,20,20,20,218,delta,2
11.5663,20,20,20,218,delta,2
11.5868,20,20,20,218,delta,2
11.6072,20,20,20,218,delta,2
11.629,20,20,20,218,delta,2
11.6492,20,20,20,218,delta,2
11.6819,20,20,20,218,delta,2
11.703,20,20,20,218,delta,2
11.7233,20,20,20,218,delta,2
11.7456,20,20,20,218,delta,2
11.767,20,20,20,218,delta,2
11.8024,20,20,20,218,delta,2
11.8231,20,20,20,218,delta,2
11.8456,20,20,20,218,delta,2
11.8674,20,20,20,218,delta,2
11.8916,20,20,20,218,delta,2
11.9242,20,20,20,218,delta,2
11.9453,20,20,20,218,delta,2
11.9672,20,20,20,218,delta,2
11.9872,20,20,20,218,delta,2
12.0093,20,20,20,218,delta,2
12.0441,20,20,20,218,delta,2
12.065,20,20,20,218,delta,2
12.0848,20,20,20,218,delta,2
12.1054,20,20,20,218,delta,2
12.127,20,20,20,218,delta,2
12.158,20,20,20,218,delta,2
12.1788,20,20,20,218,delta,2
12.1989,20,20,20,218,delta,2
12.2193,20,20,20,218,delta,2
12.241,20,20,20,218,delta,2
