t_s,bufPctRaw,bufPctSmoothed,bufPctDrawn,redraws,lastSkipReason,wrState
4.2033,0,20,20,95,delta,1
4.2235,0,20,20,95,delta,1
4.2434,0,20,20,95,delta,1
4.2741,0,20,20,95,delta,1
4.2941,0,20,20,95,delta,1
4.3147,0,20,20,95,delta,1
4.3389,0,0,0,95,delta,1
4.4564,0,0,0,95,delta,2
4.5812,0,0,0,95,delta,2
4.6454,0,0,0,95,delta,2
4.7112,0,0,0,95,delta,2
4.777,0,0,0,95,delta,2
4.8437,0,0,0,95,delta,2
4.9662,0,0,0,95,delta,2
5.0306,0,0,0,95,delta,2
5.0961,0,0,0,95,delta,2
5.1622,0,0,0,95,delta,2
5.2285,0,0,0,95,delta,2
5.3513,0,0,0,95,delta,2
5.4149,0,0,0,95,delta,2
5.4807,0,0,0,95,delta,2
5.5474,0,0,0,95,delta,2
5.613,0,0,0,95,delta,2
5.7362,0,0,0,95,delta,2
5.8002,0,0,0,95,delta,2
5.8669,0,0,0,95,delta,2
5.9321,0,0,0,95,delta,2
6.0006,0,0,0,95,delta,2
6.1232,0,0,0,95,delta,2
6.1868,0,0,0,95,delta,2
6.2538,0,0,0,95,delta,2
6.319,0,0,0,95,delta,2
6.3854,0,0,0,95,delta,2
6.508,0,0,0,95,delta,2
6.5723,0,0,0,95,delta,2
6.6379,0,0,0,95,delta,2
6.7044,0,0,0,95,delta,2
6.77,0,0,0,95,delta,2
6.8931,0,0,0,95,delta,2
6.9569,0,0,0,95,delta,2
7.0233,0,0,0,95,delta,2
7.0896,0,0,0,95,delta,2
7.1561,0,0,0,95,delta,2
7.2782,0,0,0,95,delta,2
7.3419,0,0,0,95,delta,2
7.4079,0,0,0,95,delta,2
7.474,0,0,0,95,delta,2
7.5399,0,0,0,95,delta,2
7.6632,0,0,0,95,delta,2
7.7272,0,0,0,95,delta,2
7.7931,0,0,0,95,delta,2
7.8592,0,0,0,95,delta,2
7.9253,0,0,0,95,delta,2
8.0484,0,0,0,95,delta,2
8.1118,0,0,0,95,delta,2
