t_s,bufPctRaw,bufPctSmoothed,bufPctDrawn,redraws,lastSkipReason,wrState
4.1409,16,16,16,221,delta,2
4.1621,16,16,16,221,delta,2
4.183,16,16,16,221,delta,2
4.2042,16,16,16,221,delta,2
4.2241,16,16,16,221,delta,2
4.2566,16,16,16,221,delta,2
4.2779,16,16,16,221,delta,2
4.2988,16,16,16,221,delta,2
4.3201,16,16,16,221,delta,2
4.3455,16,16,16,221,delta,2
4.3801,16,16,16,221,delta,2
4.4013,16,16,16,221,delta,2
4.4231,16,16,16,221,delta,2
4.4456,16,16,16,221,delta,2
4.4674,16,16,16,221,delta,2
4.5021,16,16,16,221,delta,2
4.5232,16,16,16,221,delta,2
4.5452,16,16,16,221,delta,2
4.5686,16,16,16,221,delta,2
4.5897,16,16,16,221,delta,2
4.6236,16,16,16,221,delta,2
4.6451,16,16,16,221,delta,2
4.6655,16,16,16,221,delta,2
4.687,16,16,16,221,delta,2
4.7072,16,16,16,221,delta,2
4.7418,16,16,16,221,delta,2
4.7631,16,16,16,221,delta,2
4.7835,16,16,16,221,delta,2
4.8057,16,16,16,221,delta,2
4.829,16,16,16,221,delta,2
4.86,16,16,16,221,delta,2
4.8804,16,16,16,221,delta,2
4.9012,16,16,16,221,delta,2
4.9239,16,16,16,221,delta,2
4.9457,16,16,16,221,delta,2
4.9802,16,16,16,221,delta,2
5.002,16,16,16,221,delta,2
5.0235,16,16,16,221,delta,2
5.0451,16,16,16,221,delta,2
5.0649,16,16,16,221,delta,2
5.0962,16,16,16,221,delta,2
5.117,16,16,16,221,delta,2
5.1371,16,16,16,221,delta,2
5.1574,16,16,16,221,delta,2
5.1789,16,16,16,221,delta,2
5.2121,16,16,16,221,delta,2
5.2328,16,16,16,221,delta,2
5.2529,16,16,16,221,delta,2
5.2734,16,16,16,221,delta,2
5.2952,16,16,16,221,delta,2
5.3299,16,16,16,221,delta,2
5.3511,16,16,16,221,delta,2
5.3716,16,16,16,221,delta,2
5.3934,16,16,16,221,delta,2
5.4151,16,16,16,221,delta,2
5.4477,16,16,16,221,delta,2
5.4691,16,16,16,221,delta,2
5.4896,16,16,16,221,delta,2
5.5111,16,16,16,221,delta,2
5.5312,16,16,16,221,delta,2
5.5661,16,16,16,221,delta,2
5.5871,16,16,16,221,delta,2
5.6096,16,16,16,221,delta,2
5.6313,16,16,16,221,delta,2
5.6529,16,16,16,221,delta,2
5.6841,16,16,16,221,delta,2
5.7062,16,16,16,221,delta,2
5.7268,16,16,16,221,delta,2
5.7469,16,16,16,221,delta,2
5.7675,16,16,16,221,delta,2
5.8024,16,16,16,221,delta,2
5.8235,16,16,16,221,delta,2
5.8448,16,16,16,221,delta,2
5.8665,16,16,16,221,delta,2
5.8871,16,16,16,221,delta,2
5.9181,16,16,16,221,delta,2
5.939,16,16,16,221,delta,2
5.9589,16,16,16,221,delta,2
5.9795,16,16,16,221,delta,2
6.0014,16,16,16,221,delta,2
6.0357,16,16,16,221,delta,2
6.1351,0,16,16,221,delta,2
6.5993,0,16,16,221,delta,2
6.6267,0,16,16,221,delta,2
6.7094,0,16,16,221,delta,1
6.7403,0,16,16,221,delta,1
6.7608,0,16,16,221,delta,1
6.7807,0,16,16,221,delta,1
6.8005,0,16,16,221,delta,1
6.8208,0,16,16,221,delta,1
6.8522,0,16,16,221,delta,1
6.8725,0,16,16,221,delta,1
6.8927,0,16,16,221,delta,1
6.9125,0,16,16,221,delta,1
6.9328,0,16,16,221,delta,1
6.9636,0,16,16,221,delta,1
6.9834,0,16,16,221,delta,1
7.0039,0,16,16,221,delta,1
7.0238,0,16,16,221,delta,1
7.0443,0,16,16,221,delta,1
7.0757,0,16,16,221,delta,1
7.0955,0,16,16,221,delta,1
7.1158,0,16,16,221,delta,1
7.1357,0,16,16,221,delta,1
7.1558,0,16,16,221,delta,1
7.1867,0,16,16,221,delta,1
7.2067,0,16,16,221,delta,1
7.2267,0,16,16,221,delta,1
7.2468,0,16,16,221,delta,1
7.2666,0,16,16,221,delta,1
7.2988,0,16,16,221,delta,1
7.3186,0,16,16,221,delta,1
7.339,0,16,16,221,delta,1
7.3588,0,16,16,221,delta,1
7.3785,0,16,16,221,delta,1
7.4098,0,16,16,221,delta,1
7.4294,0,16,16,221,delta,1
7.4498,0,16,16,221,delta,1
7.4696,0,16,16,221,delta,1
7.4896,0,16,16,221,delta,1
7.5206,0,16,16,221,delta,1
7.5404,0,16,16,221,delta,1
7.5614,0,16,16,221,delta,1
7.5817,0,16,16,221,delta,1
7.6017,0,16,16,221,delta,1
7.6327,0,16,16,221,delta,1
7.6526,0,16,16,221,delta,1
7.6729,0,16,16,221,delta,1
7.6927,0,16,16,221,delta,1
7.7126,0,16,16,221,delta,1
7.7432,0,16,16,221,delta,1
7.7634,0,16,16,221,delta,1
7.7838,0,16,16,221,delta,1
7.8037,0,16,16,221,delta,1
7.8235,0,16,16,221,delta,1
7.8546,0,16,16,221,delta,1
7.8744,0,16,16,221,delta,1
7.8948,0,16,16,221,delta,1
7.9147,0,16,16,221,delta,1
7.9345,0,16,16,221,delta,1
7.9653,0,16,16,221,delta,1
7.9857,0,16,16,221,delta,1
8.0058,0,16,16,221,delta,1
8.0259,0,16,16,221,delta,1
8.0456,0,16,16,221,delta,1
8.0764,0,16,16,221,delta,1
8.0967,0,16,16,221,delta,1
8.1169,0,16,16,221,delta,1
8.1378,0,16,16,221,delta,1
8.1576,0,16,16,221,delta,1
8.1897,0,16,16,221,delta,1
8.2095,0,16,16,221,delta,1
8.2299,0,16,16,221,delta,1
8.2497,0,16,16,221,delta,1
8.2699,0,16,16,221,delta,1
8.3013,0,16,16,221,delta,1
8.3215,0,16,16,221,delta,1
8.3418,0,16,16,221,delta,1
8.3618,0,16,16,221,delta,1
8.3818,0,16,16,221,delta,1
8.4124,0,16,16,221,delta,1
8.4326,0,16,16,221,delta,1
8.453,0,16,16,221,delta,1
8.474,0,16,16,221,delta,1
8.4938,0,16,16,221,delta,1
8.5247,0,16,16,221,delta,1
8.5448,0,16,16,221,delta,1
8.5651,0,16,16,221,delta,1
8.5858,0,16,16,221,delta,1
