t_s,bufPctRaw,bufPctSmoothed,bufPctDrawn,redraws,lastSkipReason
8.2426,0,0,0,85,delta
8.2629,0,0,0,85,delta
8.2827,0,0,0,85,delta
8.3026,0,0,0,85,delta
8.323,0,0,0,85,delta
8.3426,0,0,0,85,delta
8.3628,0,0,0,85,delta
8.383,0,0,0,85,delta
8.4027,0,0,0,85,delta
8.4229,0,0,0,85,delta
8.4429,0,0,0,85,delta
8.4631,0,0,0,85,delta
8.4828,0,0,0,85,delta
8.5032,0,0,0,85,delta
8.5248,0,0,0,85,delta
8.5467,0,0,0,85,delta
8.5666,0,0,0,85,delta
8.5868,0,0,0,85,delta
8.6067,0,0,0,85,delta
8.6267,0,0,0,85,delta
8.6468,0,0,0,85,delta
8.6669,0,0,0,85,delta
8.6866,0,0,0,85,delta
8.7065,0,0,0,85,delta
8.7267,0,0,0,85,delta
8.7467,0,0,0,85,delta
8.7666,0,0,0,85,delta
8.7867,0,0,0,85,delta
8.8067,0,0,0,85,delta
8.8271,0,0,0,85,delta
8.8472,0,0,0,85,delta
8.8669,0,0,0,85,delta
8.8868,0,0,0,85,delta
8.9068,0,0,0,85,delta
8.9266,0,0,0,85,delta
8.9468,0,0,0,85,delta
8.9674,0,0,0,85,delta
8.9878,0,0,0,85,delta
9.0076,0,0,0,85,delta
9.0278,0,0,0,85,delta
9.0476,0,0,0,85,delta
9.0676,0,0,0,85,delta
9.088,0,0,0,85,delta
9.1078,0,0,0,85,delta
9.1276,0,0,0,85,delta
9.148,0,0,0,85,delta
9.1679,0,0,0,85,delta
9.1877,0,0,0,85,delta
9.2079,0,0,0,85,delta
9.2277,0,0,0,85,delta
9.2476,0,0,0,85,delta
9.2682,0,0,0,85,delta
9.2878,0,0,0,85,delta
9.3076,0,0,0,85,delta
9.3278,0,0,0,85,delta
9.3478,0,0,0,85,delta
9.3677,0,0,0,85,delta
9.3879,0,0,0,85,delta
9.4092,0,0,0,85,delta
9.4291,0,0,0,85,delta
9.4489,0,0,0,85,delta
9.4686,0,0,0,85,delta
9.489,0,0,0,85,delta
9.5092,0,0,0,85,delta
9.529,0,0,0,85,delta
9.5487,0,0,0,85,delta
9.569,0,0,0,85,delta
9.5896,0,0,0,85,delta
9.6098,0,0,0,85,delta
9.63,0,0,0,85,delta
9.65,0,0,0,85,delta
9.6699,0,0,0,85,delta
9.6899,0,0,0,85,delta
9.7097,0,0,0,85,delta
9.7296,0,0,0,85,delta
9.7499,0,0,0,85,delta
9.7696,0,0,0,85,delta
9.7896,0,0,0,85,delta
9.8098,0,0,0,85,delta
9.8295,0,0,0,85,delta
