t_s,bufPctRaw,bufPctSmoothed,bufPctDrawn,redraws,lastSkipReason
7.0208,0,0,0,85,delta
7.0403,0,0,0,85,delta
7.0605,0,0,0,85,delta
7.0805,0,0,0,85,delta
7.1004,0,0,0,85,delta
7.1205,0,0,0,85,delta
7.1408,0,0,0,85,delta
7.1603,0,0,0,85,delta
7.1802,0,0,0,85,delta
7.2006,0,0,0,85,delta
7.2204,0,0,0,85,delta
7.2402,0,0,0,85,delta
7.2605,0,0,0,85,delta
7.2803,0,0,0,85,delta
7.3005,0,0,0,85,delta
7.3206,0,0,0,85,delta
7.3407,0,0,0,85,delta
7.3605,0,0,0,85,delta
7.3814,0,0,0,85,delta
7.4014,0,0,0,85,delta
7.4214,0,0,0,85,delta
7.4416,0,0,0,85,delta
7.4614,0,0,0,85,delta
7.4814,0,0,0,85,delta
7.5016,0,0,0,85,delta
7.5212,0,0,0,85,delta
7.5415,0,0,0,85,delta
7.5618,0,0,0,85,delta
7.5814,0,0,0,85,delta
7.6015,0,0,0,85,delta
7.6216,0,0,0,85,delta
7.6413,0,0,0,85,delta
7.6616,0,0,0,85,delta
7.6817,0,0,0,85,delta
7.7013,0,0,0,85,delta
7.7215,0,0,0,85,delta
7.7422,0,0,0,85,delta
7.7625,0,0,0,85,delta
7.7822,0,0,0,85,delta
7.8026,0,0,0,85,delta
7.8225,0,0,0,85,delta
7.8426,0,0,0,85,delta
7.8626,0,0,0,85,delta
7.8823,0,0,0,85,delta
7.9023,0,0,0,85,delta
7.9225,0,0,0,85,delta
7.9423,0,0,0,85,delta
7.9626,0,0,0,85,delta
7.9825,0,0,0,85,delta
8.0023,0,0,0,85,delta
8.0224,0,0,0,85,delta
8.0427,0,0,0,85,delta
8.0624,0,0,0,85,delta
8.0822,0,0,0,85,delta
8.1026,0,0,0,85,delta
8.1226,0,0,0,85,delta
8.1426,0,0,0,85,delta
8.1624,0,0,0,85,delta
8.1824,0,0,0,85,delta
8.2023,0,0,0,85,delta
8.2229,0,0,0,85,delta
8.2423,0,0,0,85,delta
8.2623,0,0,0,85,delta
8.2826,0,0,0,85,delta
8.3046,0,0,0,85,delta
8.3243,0,0,0,85,delta
8.3445,0,0,0,85,delta
8.3643,0,0,0,85,delta
8.3845,0,0,0,85,delta
8.4047,0,0,0,85,delta
8.4245,0,0,0,85,delta
8.4444,0,0,0,85,delta
8.4648,0,0,0,85,delta
8.4846,0,0,0,85,delta
8.5043,0,0,0,85,delta
8.5245,0,0,0,85,delta
8.5443,0,0,0,85,delta
8.565,0,0,0,85,delta
8.5856,0,0,0,85,delta
8.6056,0,0,0,85,delta
8.6254,0,0,0,85,delta
8.6457,0,0,0,85,delta
8.6653,0,0,0,85,delta
8.6852,0,0,0,85,delta
8.7063,0,0,0,85,delta
8.7263,0,0,0,85,delta
8.7465,0,0,0,85,delta
8.7665,0,0,0,85,delta
8.7864,0,0,0,85,delta
8.8063,0,0,0,85,delta
8.8266,0,0,0,85,delta
8.8463,0,0,0,85,delta
8.8663,0,0,0,85,delta
8.8864,0,0,0,85,delta
8.9062,0,0,0,85,delta
8.9263,0,0,0,85,delta
8.9467,0,0,0,85,delta
8.9663,0,0,0,85,delta
8.9863,0,0,0,85,delta
9.0067,0,0,0,85,delta
9.0263,0,0,0,85,delta
9.0464,0,0,0,85,delta
9.0664,0,0,0,85,delta
9.0864,0,0,0,85,delta
9.1066,0,0,0,85,delta
9.1266,0,0,0,85,delta
9.1464,0,0,0,85,delta
9.1662,0,0,0,85,delta
9.1866,0,0,0,85,delta
9.2064,0,0,0,85,delta
9.2264,0,0,0,85,delta
9.2468,0,0,0,85,delta
9.2664,0,0,0,85,delta
9.2865,0,0,0,85,delta
9.3067,0,0,0,85,delta
9.3268,0,0,0,85,delta
9.3465,0,0,0,85,delta
9.3668,0,0,0,85,delta
9.3873,0,0,0,85,delta
9.4074,0,0,0,85,delta
9.4277,0,0,0,85,delta
9.4475,0,0,0,85,delta
9.4673,0,0,0,85,delta
9.4875,0,0,0,85,delta
9.5073,0,0,0,85,delta
9.5274,0,0,0,85,delta
9.5475,0,0,0,85,delta
9.5673,0,0,0,85,delta
9.5873,0,0,0,85,delta
9.6076,0,0,0,85,delta
9.6274,0,0,0,85,delta
9.6475,0,0,0,85,delta
9.6679,0,0,0,85,delta
9.6885,0,0,0,85,delta
9.7086,0,0,0,85,delta
9.7292,0,0,0,85,delta
